country_id,question,std_dev
3,v2caassemb,0.5345224838248488
4,v2caassemb,0.5163977794943222
5,v2caassemb,0.0
6,v2caassemb,0.5345224838248488
7,v2caassemb,0.46291004988627577
8,v2caassemb,0.5222329678670934
9,v2caassemb,0.46291004988627577
10,v2caassemb,0.32338083338177726
11,v2caassemb,0.49761335152811925
12,v2caassemb,1.0327955589886444
13,v2caassemb,0.4923659639173309
14,v2caassemb,1.027105182026191
15,v2caassemb,0.9374368665610922
17,v2caassemb,0.8944271909999159
19,v2caassemb,0.8864052604279183
20,v2caassemb,0.5026246899500346
21,v2caassemb,1.5118578920369088
22,v2caassemb,0.5163977794943222
24,v2caassemb,1.0894095588038444
25,v2caassemb,0.852802865422442
26,v2caassemb,1.4907119849998598
27,v2caassemb,0.0
28,v2caassemb,1.577621275493231
29,v2caassemb,0.36313651960128157
30,v2caassemb,0.7888106377466155
31,v2caassemb,0.9258200997725514
32,v2caassemb,0.8864052604279183
33,v2caassemb,1.34245960914949
34,v2caassemb,1.0894095588038444
36,v2caassemb,0.5345224838248488
37,v2caassemb,0.42163702135578385
38,v2caassemb,0.48507125007266594
39,v2caassemb,0.9176629354822471
40,v2caassemb,0.7177405625652734
41,v2caassemb,0.0
42,v2caassemb,0.5135525910130955
43,v2caassemb,0.7109393663377318
44,v2caassemb,0.36313651960128146
45,v2caassemb,1.0527227119356304
46,v2caassemb,0.9138735334633755
47,v2caassemb,1.0690449676496976
48,v2caassemb,0.46880723093849536
49,v2caassemb,0.7844645405527361
50,v2caassemb,1.2224996910042532
51,v2caassemb,0.9233805168766386
52,v2caassemb,1.3662601021279464
53,v2caassemb,1.4064216928154862
54,v2caassemb,1.2292725943057183
55,v2caassemb,0.49236596391733095
56,v2caassemb,0.4629100498862757
57,v2caassemb,0.49236596391733095
58,v2caassemb,0.8084520834544432
59,v2caassemb,1.0690449676496976
60,v2caassemb,1.2292725943057183
61,v2caassemb,0.46291004988627577
62,v2caassemb,0.5829830881301374
63,v2caassemb,0.8944271909999159
64,v2caassemb,0.9999999999999999
65,v2caassemb,0.0
66,v2caassemb,0.4216370213557839
67,v2caassemb,0.5163977794943222
68,v2caassemb,1.027105182026191
69,v2caassemb,1.1547005383792517
70,v2caassemb,0.3892494720807616
71,v2caassemb,1.0749676997731399
72,v2caassemb,0.0
73,v2caassemb,0.4629100498862757
74,v2caassemb,0.5163977794943222
75,v2caassemb,0.8644378215075665
76,v2caassemb,0.5163977794943223
